"TIME","GEO","C_RESID","UNIT","NACE_R2","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Foreign country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","257,181,388","e"
"2010","European Union - 27 countries (from 2020)","Foreign country","Number","Hotels and similar accommodation","208,786,952",""
"2010","European Union - 27 countries (from 2020)","Foreign country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","48,394,436","e"
"2010","European Union - 27 countries (from 2020)","Foreign country","Number","Holiday and other short-stay accommodation","26,312,363","e"
"2010","European Union - 27 countries (from 2020)","Foreign country","Number","Camping grounds, recreational vehicle parks and trailer parks","22,082,073","e"
"2010","European Union - 27 countries (from 2020)","Foreign country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","8.12","e"
"2010","European Union - 27 countries (from 2020)","Foreign country","Percentage change on previous period","Hotels and similar accommodation","7.28",""
"2010","European Union - 27 countries (from 2020)","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2.8","e"
"2010","European Union - 27 countries (from 2020)","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation","5.47","e"
"2010","European Union - 27 countries (from 2020)","Foreign country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-0.21","e"
"2010","European Union - 27 countries (from 2020)","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","446,035,759","e"
"2010","European Union - 27 countries (from 2020)","Reporting country","Number","Hotels and similar accommodation","344,108,054",""
"2010","European Union - 27 countries (from 2020)","Reporting country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","101,927,705","e"
"2010","European Union - 27 countries (from 2020)","Reporting country","Number","Holiday and other short-stay accommodation","63,415,872","e"
"2010","European Union - 27 countries (from 2020)","Reporting country","Number","Camping grounds, recreational vehicle parks and trailer parks","38,511,833","e"
"2010","European Union - 27 countries (from 2020)","Reporting country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2.54","e"
"2010","European Union - 27 countries (from 2020)","Reporting country","Percentage change on previous period","Hotels and similar accommodation","3.09",""
"2010","European Union - 27 countries (from 2020)","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","0.72","e"
"2010","European Union - 27 countries (from 2020)","Reporting country","Percentage change on previous period","Holiday and other short-stay accommodation","2.66","e"
"2010","European Union - 27 countries (from 2020)","Reporting country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","-2.32","e"
"2010","European Union - 27 countries (from 2020)","Total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","703,217,148","e"
"2010","European Union - 27 countries (from 2020)","Total","Number","Hotels and similar accommodation","552,895,006",""
