TIME,GEO,C_RESID,UNIT,NACE_R2,Value,Flag and Footnotes
2010,European Union - 27 countries (from 2020),Foreign country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","921,187,045",
2010,European Union - 27 countries (from 2020),Foreign country,Number,Hotels and similar accommodation,"664,102,432",
2010,European Union - 27 countries (from 2020),Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","257,839,105",e
2010,European Union - 27 countries (from 2020),Foreign country,Number,Holiday and other short-stay accommodation,"141,017,004",e
2010,European Union - 27 countries (from 2020),Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks","116,822,101",e
2010,European Union - 27 countries (from 2020),Foreign country,Per thousand inhabitants,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Foreign country,Per thousand inhabitants,Hotels and similar accommodation,:,
2010,European Union - 27 countries (from 2020),Foreign country,Per thousand inhabitants,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Foreign country,Per thousand inhabitants,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (from 2020),Foreign country,Per thousand inhabitants,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Foreign country,Per square kilometre,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Foreign country,Per square kilometre,Hotels and similar accommodation,:,
2010,European Union - 27 countries (from 2020),Foreign country,Per square kilometre,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Foreign country,Per square kilometre,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (from 2020),Foreign country,Per square kilometre,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Foreign country,Percentage of total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",42.57,
2010,European Union - 27 countries (from 2020),Foreign country,Percentage of total,Hotels and similar accommodation,:,
2010,European Union - 27 countries (from 2020),Foreign country,Percentage of total,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Foreign country,Percentage of total,Holiday and other short-stay accommodation,:,
2010,European Union - 27 countries (from 2020),Foreign country,Percentage of total,"Camping grounds, recreational vehicle parks and trailer parks",:,
2010,European Union - 27 countries (from 2020),Foreign country,Percentage change on previous period,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",3.88,
2010,European Union - 27 countries (from 2020),Foreign country,Percentage change on previous period,Hotels and similar accommodation,5.8,
2010,European Union - 27 countries (from 2020),Foreign country,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",-0.47,e
2010,European Union - 27 countries (from 2020),Foreign country,Percentage change on previous period,Holiday and other short-stay accommodation,-0.42,e
2010,European Union - 27 countries (from 2020),Foreign country,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",-0.52,e
2010,European Union - 27 countries (from 2020),Reporting country,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,242,497,965",e
2010,European Union - 27 countries (from 2020),Reporting country,Number,Hotels and similar accommodation,"751,916,861",
