TIME,GEO,Value
2010,Greece,10829306
2010,Greece,8964224
2010,Greece,2321692
2010,Greece,1632382
2010,Greece,232700
2010,Greece,3.79
2010,Greece,4.94
2010,Greece,0.1
2010,Greece,-1.24
2010,Greece,-2.55
2011,Greece,12083938
2011,Greece,10041765
2011,Greece,2507046
2011,Greece,1817476
2011,Greece,224697
2011,Greece,11.59
2011,Greece,12.02
2011,Greece,8
2011,Greece,11.34
2011,Greece,-3.44
2012,Greece,11230515
2012,Greece,9243951
2012,Greece,1986564
2012,Greece,1834465
2012,Greece,152099
2012,Greece,-7.06
2012,Greece,-7.94
2012,Greece,-20.76
2012,Greece,0.93
2012,Greece,-32.31
2013,Greece,12749395
2013,Greece,10490113
2013,Greece,2259282
2013,Greece,2082647
2013,Greece,176635
2013,Greece,13.52
2013,Greece,13.48
2013,Greece,13.73
2013,Greece,13.53
2013,Greece,16.13
