TIME,GEO,Value
2010,Greece,19856896
2010,Greece,15840595
2010,Greece,4794665
2010,Greece,3615501
2010,Greece,400800
2010,Greece,-1.46
2010,Greece,-0.34
2010,Greece,-4.2
2010,Greece,-6
2010,Greece,-2.29
2011,Greece,20315597
2011,Greece,16354725
2011,Greece,4728277
2011,Greece,3569991
2011,Greece,390881
2011,Greece,2.31
2011,Greece,3.25
2011,Greece,-1.4
2011,Greece,-1.26
2011,Greece,-2.47
2012,Greece,18212022
2012,Greece,14501209
2012,Greece,3710813
2012,Greece,3421326
2012,Greece,289487
2012,Greece,-10.35
2012,Greece,-11.33
2012,Greece,-21.52
2012,Greece,-4.16
2012,Greece,-25.94
2013,Greece,20115254
2013,Greece,16008948
2013,Greece,4106306
2013,Greece,3789492
2013,Greece,316814
2013,Greece,10.45
2013,Greece,10.4
2013,Greece,10.66
2013,Greece,10.76
2013,Greece,9.44
