TIME,GEO,Value
2010,Italy,43794338
2010,Italy,35020415
2010,Italy,8773923
2010,Italy,4577275
2010,Italy,4196648
2010,Italy,6.49
2010,Italy,7.32
2010,Italy,3.32
2010,Italy,6.52
2010,Italy,0.04
2011,Italy,47460809
2011,Italy,37983634
2011,Italy,9477175
2011,Italy,5065751
2011,Italy,4411424
2011,Italy,8.37
2011,Italy,8.46
2011,Italy,8.02
2011,Italy,10.67
2011,Italy,5.12
2012,Italy,48738575
2012,Italy,38867517
2012,Italy,9871058
2012,Italy,5988315
2012,Italy,3882743
2012,Italy,2.69
2012,Italy,2.33
2012,Italy,4.16
2012,Italy,18.21
2012,Italy,-11.98
2013,Italy,50263236
2013,Italy,39989184
2013,Italy,10274052
2013,Italy,6374489
2013,Italy,3899563
2013,Italy,3.1
2013,Italy,2.9
2013,Italy,4.1
2013,Italy,6.4
2013,Italy,0.4
