TIME,GEO,Value
2010,Italy,98813845
2010,Italy,79374146
2010,Italy,19439699
2010,Italy,10523745
2010,Italy,8915954
2010,Italy,3.47
2010,Italy,3.99
2010,Italy,1.41
2010,Italy,4.7
2010,Italy,-2.21
2011,Italy,103723869
2011,Italy,83055769
2011,Italy,20668100
2011,Italy,11400114
2011,Italy,9267986
2011,Italy,4.97
2011,Italy,4.64
2011,Italy,6.32
2011,Italy,8.33
2011,Italy,3.95
2012,Italy,103733157
2012,Italy,82644781
2012,Italy,21088376
2012,Italy,13055213
2012,Italy,8033163
2012,Italy,0.01
2012,Italy,-0.49
2012,Italy,2.03
2012,Italy,14.52
2012,Italy,-13.32
2013,Italy,103862530
2013,Italy,82639236
2013,Italy,21223294
2013,Italy,13434065
2013,Italy,7789229
2013,Italy,0.1
2013,Italy,0
2013,Italy,0.6
2013,Italy,2.9
2013,Italy,-3
