TIME,GEO,Value
2010,Greece,58147769
2010,Greece,48243634
2010,Greece,10940763
2010,Greece,9161633
2010,Greece,742502
2010,Greece,0
2010,Greece,0
2010,Greece,0
2010,Greece,0
2010,Greece,0
2010,Greece,0
2010,Greece,0
2010,Greece,0
2010,Greece,0
2010,Greece,0
2010,Greece,69.19
2010,Greece,0
2010,Greece,0
2010,Greece,0
2010,Greece,0
2010,Greece,2.89
2010,Greece,5.05
2010,Greece,-4.8
2010,Greece,-6.88
2010,Greece,-1.18
2011,Greece,64229570
2011,Greece,53768033
2011,Greece,11746197
2011,Greece,9711374
2011,Greece,750163
2011,Greece,0
2011,Greece,0
2011,Greece,0
2011,Greece,0
2011,Greece,0
2011,Greece,0
2011,Greece,0
2011,Greece,0
2011,Greece,0
2011,Greece,0
2011,Greece,73.46
2011,Greece,0
2011,Greece,0
2011,Greece,0
2011,Greece,0
2011,Greece,10.46
2011,Greece,11.45
2011,Greece,7.4
2011,Greece,6
2011,Greece,1.03
2012,Greece,61054383
2012,Greece,50539507
2012,Greece,10514876
2012,Greece,9959485
2012,Greece,555391
2012,Greece,0
2012,Greece,0
2012,Greece,0
2012,Greece,0
2012,Greece,0
2012,Greece,0
2012,Greece,0
2012,Greece,0
2012,Greece,0
2012,Greece,0
2012,Greece,75.78
2012,Greece,0
2012,Greece,0
2012,Greece,0
2012,Greece,0
2012,Greece,-4.94
2012,Greece,-6
2012,Greece,-10.48
2012,Greece,2.55
2012,Greece,-25.96
2013,Greece,68992640
2013,Greece,57058282
2013,Greece,11934358
2013,Greece,11246909
2013,Greece,687449
2013,Greece,0
2013,Greece,0
2013,Greece,0
2013,Greece,0
2013,Greece,0
2013,Greece,0
2013,Greece,0
2013,Greece,0
2013,Greece,0
2013,Greece,0
2013,Greece,77.43
2013,Greece,0
2013,Greece,0
2013,Greece,0
2013,Greece,0
2013,Greece,13
2013,Greece,12.9
2013,Greece,13.5
2013,Greece,12.93
2013,Greece,23.78
